time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010450100000	15.4754	20.0273	4.79405	2.6541	0.496227	lidar	1.41924	15.4332	20.1836	15.4956	20.111	-4.28461	2.2081
1477010450150000	15.2688	20.1657	4.80587	2.66554	0.476788	radar	5.77681	14.3677	21.3406	15.2799	20.2185	-4.34427	2.09347
1477010450200000	15.0772	20.2992	4.80205	2.67718	0.464763	lidar	1.84006	15.2016	20.4385	15.0613	20.3203	-4.4008	1.97763
1477010450250000	14.8482	20.3816	4.80162	2.71364	0.483958	radar	2.10067	14.7476	19.9571	14.84	20.4162	-4.4542	1.86068
1477010450300000	14.6331	20.5003	4.81085	2.73043	0.476194	lidar	0.6842	14.6665	20.6088	14.6161	20.5063	-4.50443	1.74272
1477010450350000	14.4004	20.5854	4.81998	2.76577	0.497994	radar	1.32212	13.841	21.0031	14.3897	20.5904	-4.55149	1.62386
1477010450400000	14.1551	20.6596	4.83239	2.79762	0.504447	lidar	0.799063	14.0521	20.5924	14.1611	20.6686	-4.59537	1.50421
1477010450450000	13.921	20.7295	4.83674	2.8325	0.523138	radar	0.409591	13.8232	20.859	13.9304	20.7408	-4.63606	1.38386
1477010450500000	13.6526	20.7911	4.86787	2.86715	0.530361	lidar	2.02661	13.4686	20.7253	13.6977	20.807	-4.67357	1.26294
1477010450550000	13.407	20.8211	4.87069	2.91935	0.576727	radar	2.48699	13.8263	20.4261	13.4632	20.8671	-4.70789	1.14153
1477010450600000	13.159	20.8652	4.87757	2.9515	0.579732	lidar	0.208413	13.1072	20.8294	13.2271	20.9211	-4.73904	1.01975
1477010450650000	12.9283	20.9225	4.87459	2.974	0.572717	radar	1.71438	13.2669	21.1579	12.9895	20.969	-4.76702	0.897694
1477010450700000	12.7175	20.9733	4.85	2.99476	0.565989	lidar	1.66002	12.8729	21.0592	12.7506	21.0108	-4.79186	0.775469
1477010450750000	12.4693	21.0114	4.86228	3.02385	0.569379	radar	2.66769	11.5171	21.6724	12.5106	21.0465	-4.81358	0.653175
1477010450800000	12.2222	21.0501	4.87281	3.04811	0.564597	lidar	0.210749	12.2062	21.11	12.2695	21.0761	-4.83219	0.530912
1477010450850000	11.9839	21.0694	4.8713	3.07959	0.573534	radar	0.948572	12.3859	21.1066	12.0276	21.0996	-4.84773	0.408778
1477010450900000	11.7359	21.044	4.86482	3.12169	0.587467	lidar	1.86039	11.6814	20.8651	11.785	21.117	-4.86022	0.286869
1477010450950000	11.4892	21.0302	4.86529	3.15764	0.595597	radar	1.09586	11.5265	20.6748	11.5418	21.1283	-4.86971	0.165281
1477010451000000	11.2653	21.0277	4.84634	3.18474	0.593845	lidar	0.591647	11.363	21.0688	11.2982	21.1335	-4.87623	0.0441057
1477010451050000	11.0126	20.9886	4.85338	3.22487	0.605499	radar	4.18804	10.5558	20.5567	11.0544	21.1327	-4.87982	-0.076565
1477010451100000	10.7932	20.9543	4.82779	3.25851	0.610297	lidar	0.559417	10.8903	20.927	10.8105	21.1259	-4.88053	-0.196643
1477010451150000	10.5453	20.9531	4.82761	3.26513	0.56627	radar	5.56115	9.30535	21.3896	10.5666	21.1131	-4.8784	-0.31604
1477010451200000	10.2759	20.9764	4.86768	3.27238	0.54237	lidar	3.44065	10.189	21.209	10.3229	21.0943	-4.87349	-0.434674
1477010451250000	10.037	20.9578	4.86574	3.29181	0.532161	radar	1.01432	9.97958	21.2932	10.0795	21.0697	-4.86585	-0.552463
1477010451300000	9.8306	20.9223	4.82979	3.31762	0.533092	lidar	1.62407	9.99634	20.9797	9.83658	21.0391	-4.85554	-0.669327
1477010451350000	9.5928	20.9148	4.81699	3.31636	0.484156	radar	2.47243	9.38223	21.111	9.59422	21.0028	-4.84262	-0.785189
1477010451400000	9.38925	20.8644	4.78113	3.34398	0.489279	lidar	1.2222	9.53921	20.8762	9.35258	20.9607	-4.82714	-0.899977
1477010451450000	9.16271	20.825	4.77382	3.36452	0.485636	radar	1.52918	9.63392	20.9724	9.11177	20.9128	-4.80919	-1.01362
1477010451500000	8.88689	20.7879	4.82098	3.37957	0.474183	lidar	1.93542	8.70331	20.8221	8.87192	20.8594	-4.78881	-1.12605
1477010451550000	8.66665	20.7105	4.80884	3.41203	0.485578	radar	4.47655	9.84634	20.009	8.63315	20.8003	-4.76608	-1.2372
1477010451600000	8.40267	20.6235	4.84602	3.4415	0.489547	lidar	2.69518	8.22277	20.4839	8.39557	20.7358	-4.74108	-1.34701
1477010451650000	8.17409	20.5437	4.84693	3.47018	0.496829	radar	0.088403	8.29647	20.4978	8.1593	20.6657	-4.71387	-1.45542
1477010451700000	7.93506	20.463	4.85851	3.49399	0.495322	lidar	0.137898	7.88599	20.45	7.92445	20.5903	-4.68453	-1.56237
1477010451750000	7.71813	20.377	4.85654	3.52628	0.513342	radar	3.4846	8.29081	20.6565	7.69111	20.5096	-4.65313	-1.66781
1477010451800000	7.42901	20.3164	4.92087	3.53272	0.490865	lidar	3.83754	7.18029	20.392	7.45939	20.4237	-4.61975	-1.7717
1477010451850000	7.20075	20.2186	4.92148	3.55602	0.487324	radar	0.230303	7.09214	20.1196	7.22939	20.3326	-4.58448	-1.87399
1477010451900000	6.942	20.1365	4.95424	3.56891	0.474113	lidar	1.05978	6.81542	20.1859	7.00119	20.2364	-4.54738	-1.97462
1477010451950000	6.71893	20.0437	4.94703	3.5857	0.463401	radar	0.428776	6.89359	20.1536	6.7749	20.1352	-4.50854	-2.07357
1477010452000000	6.47168	19.9539	4.96871	3.59855	0.451825	lidar	0.604443	6.38914	20.0137	6.55059	20.0292	-4.46805	-2.17079
1477010452050000	6.25561	19.8594	4.95858	3.61591	0.447086	radar	2.72656	6.67637	20.2142	6.32834	19.9183	-4.42598	-2.26625
1477010452100000	5.99667	19.7675	4.99294	3.62385	0.430844	lidar	1.29889	5.86119	19.8306	6.10823	19.8027	-4.38241	-2.35993
1477010452150000	5.77638	19.6207	5.01332	3.66377	0.461672	radar	2.17616	5.28178	19.5036	5.89034	19.6824	-4.33744	-2.45178
1477010452200000	5.58364	19.5012	4.98728	3.6879	0.463606	lidar	0.891991	5.69089	19.5755	5.67472	19.5577	-4.29114	-2.5418
1477010452250000	5.38358	19.3514	4.98506	3.72134	0.477542	radar	1.6844	5.9506	18.9859	5.46145	19.4284	-4.24359	-2.62995
1477010452300000	5.16421	19.2516	4.98319	3.72957	0.461153	lidar	1.89718	5.17021	19.4397	5.25059	19.2948	-4.19488	-2.71622
1477010452350000	4.96633	19.1392	4.95463	3.73804	0.437076	radar	4.47389	5.87397	19.301	5.04219	19.157	-4.1451	-2.80059
1477010452400000	4.79145	18.9888	4.9303	3.76856	0.447057	lidar	0.575895	4.89149	18.982	4.8363	19.015	-4.09432	-2.88305
1477010452450000	4.58665	18.8389	4.94513	3.79477	0.456809	radar	1.50641	3.98679	19.0452	4.63297	18.8689	-4.04263	-2.96359
